neckneck_ratio,forward_lean_z,shoulder_tilt,head_tilt,hand_to_face,pose_x,pose_y,wrist_elevated,label
0.3361,1.4104,0.0354,0.0265,0.5867,0.0,0.0,1,Slouching
0.5937,0.5061,0.0653,0.0062,999.0,-41.1891,-135.6808,0,Looking Away
0.7192,0.1868,0.1414,0.0364,1.336,-35.652,50.7946,1,Looking Away
0.5921,0.3759,0.0748,0.0093,999.0,-35.7848,-125.0505,0,Looking Away
0.622,0.4204,0.1224,0.0136,999.0,-31.861,126.165,0,Looking Away
0.6688,0.2982,0.0331,0.0037,999.0,-41.8855,-42.4648,0,Looking Away
0.588,0.9694,0.0989,0.0424,999.0,-47.4255,169.0899,0,Focused
0.0267,0.505,0.0033,0.01,0.3048,0.0,0.0,1,Slouching
0.0709,1.1535,0.0432,0.0308,0.6153,0.0,0.0,1,Slouching
0.6102,0.7529,0.0767,0.0434,999.0,-43.0482,156.2658,0,Looking Away
0.5886,0.5689,0.1686,0.0171,999.0,-45.5682,139.6274,0,Looking Away
0.2095,1.162,0.1062,0.0679,999.0,0.0,0.0,0,Slouching
0.4729,0.8667,0.1182,0.2027,0.2752,-51.6512,-8.3056,1,Leaning on Desk
0.1874,0.4263,0.3162,0.1171,999.0,0.0,0.0,0,Slouching
0.5552,0.6469,0.037,0.037,1.359,-22.0207,-0.1396,1,Focused
0.6251,0.4405,0.1366,0.0239,999.0,0.0,0.0,0,Looking Away
0.591,0.9607,0.0961,0.0481,999.0,-45.8166,158.0348,0,Focused
0.5632,0.5622,0.04,0.0363,1.3321,-31.6435,1.17,1,Focused
0.404,1.4037,0.0835,0.0081,0.6258,0.0,0.0,1,Slouching
0.5948,0.4267,0.0756,0.0344,999.0,-36.7729,132.922,0,Looking Away
0.5712,0.8018,0.0301,0.015,1.299,-88.4101,14.9243,1,Looking Away
0.5466,0.7856,0.0129,0.045,1.3964,-31.7758,3.4718,1,Focused
0.5878,0.7319,0.1704,0.0199,999.0,-41.7248,143.6581,0,Looking Away
0.5878,0.5815,0.1704,0.017,999.0,-45.7196,137.9038,0,Looking Away
0.628,0.5373,0.0217,0.0,1.3473,-43.4285,8.3936,1,Focused
0.6413,0.6793,0.1357,0.0305,999.0,-49.6689,147.9948,0,Looking Away
0.4706,0.9336,0.097,0.0285,999.0,0.0,0.0,0,Slouching
0.5531,0.6636,0.0142,0.0496,1.4708,-32.7773,-0.1371,0,Focused
0.5307,0.7926,0.0896,0.0276,1.4064,-26.8903,-0.1095,0,Focused
0.5814,0.4766,0.1753,0.0175,999.0,-33.6562,116.7089,0,Looking Away
0.6051,0.9275,0.0463,0.0029,999.0,-44.1152,-165.768,0,Focused
